source,side,series,period,title,url,date
금융위원회,en,household_loan,2023-06,"Household Loans, June 2023",https://www.fsc.go.kr/eng/pr010101/80381?srchCtgry=&curPage=19&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2023-07-12
금융위원회,en,household_loan,2023-05,"Household Loans, May 2023",https://www.fsc.go.kr/eng/pr010101/80163?srchCtgry=&curPage=20&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2023-06-09
금융위원회,en,household_loan,2023-04,"Household Loans, April 2023",https://www.fsc.go.kr/eng/pr010101/79956?srchCtgry=&curPage=21&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2023-05-11
금융위원회,en,household_loan,2023-03,"Household Loans, March 2023",https://www.fsc.go.kr/eng/pr010101/79788?srchCtgry=&curPage=21&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2023-04-10
금융위원회,en,household_loan,2023-02,"Household Loans, February 2023",https://www.fsc.go.kr/eng/pr010101/79565?srchCtgry=&curPage=22&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2023-03-09
금융위원회,en,household_loan,2023-01,"Household Loans, January 2023",https://www.fsc.go.kr/eng/pr010101/79409?srchCtgry=&curPage=22&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2023-02-09
금융위원회,en,household_loan,2022-11,"Household Loans, November 2022",https://www.fsc.go.kr/eng/pr010101/79073?srchCtgry=&curPage=23&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2022-12-08
금융위원회,en,household_loan,2022-10,"Household Loans, October 2022",https://www.fsc.go.kr/eng/pr010101/78885?srchCtgry=&curPage=24&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2022-11-09
금융위원회,en,household_loan,2022-09,"Household Loans, September 2022",https://www.fsc.go.kr/eng/pr010101/78718?srchCtgry=&curPage=25&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2022-10-13
금융위원회,en,household_loan,2022-08,"Household Loans, August 2022",https://www.fsc.go.kr/eng/pr010101/78488?srchCtgry=&curPage=25&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2022-09-08
금융위원회,en,household_loan,2022-07,"Household Loans, July 2022",https://www.fsc.go.kr/eng/pr010101/78259?srchCtgry=&curPage=26&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2022-08-10
금융위원회,en,household_loan,2022-06,"Household Loans, June 2022",https://www.fsc.go.kr/eng/pr010101/78065?srchCtgry=&curPage=26&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2022-07-12
금융위원회,en,household_loan,2022-05,"Household Loans, May 2022",https://www.fsc.go.kr/eng/pr010101/77914?srchCtgry=&curPage=27&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2022-06-13
금융위원회,en,household_loan,2022-04,"Household Loans, April 2022",https://www.fsc.go.kr/eng/pr010101/77777?srchCtgry=&curPage=27&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2022-05-11
금융위원회,en,household_loan,2022-03,"Household Loans, March 2022",https://www.fsc.go.kr/eng/pr010101/77669?srchCtgry=&curPage=28&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2022-04-13
금융위원회,en,household_loan,2022-02,"Household Loans, February 2022",https://www.fsc.go.kr/eng/pr010101/77490?srchCtgry=&curPage=28&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2022-03-10
금융위원회,en,household_loan,2022-01,"Household Loans, January 2022",https://www.fsc.go.kr/eng/pr010101/77358?srchCtgry=&curPage=29&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2022-02-10
금융위원회,en,household_loan,2021-12,"Household Loans, December 2021",https://www.fsc.go.kr/eng/pr010101/77241?srchCtgry=&curPage=29&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2022-01-13
금융위원회,en,household_loan,2021-11,"Household Loans, November 2021",https://www.fsc.go.kr/eng/pr010101/77020?srchCtgry=&curPage=30&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2021-12-08
금융위원회,en,household_loan,2021-10,"Household Loans, October 2021",https://www.fsc.go.kr/eng/pr010101/76849?srchCtgry=&curPage=31&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2021-11-10
금융위원회,en,household_loan,2021-09,"Household Loans, September 2021",https://www.fsc.go.kr/eng/pr010101/76670?srchCtgry=&curPage=32&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2021-10-13
금융위원회,en,household_loan,2021-08,"Household Loans, August 2021",https://www.fsc.go.kr/eng/pr010101/76494?srchCtgry=&curPage=33&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2021-09-08
금융위원회,en,household_loan,2021-07,"Household Loans, July 2021",https://www.fsc.go.kr/eng/pr010101/76382?srchCtgry=&curPage=33&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2021-08-11
금융위원회,en,household_loan,2021-06,"Household Loans, June 2021",https://www.fsc.go.kr/eng/pr010101/76242?srchCtgry=&curPage=34&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2021-07-14
금융위원회,en,household_loan,2021-05,"Household Loans, May 2021",https://www.fsc.go.kr/eng/pr010101/76063?srchCtgry=&curPage=35&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2021-06-10
금융위원회,en,household_loan,2021-04,"Household Loans, April 2021",https://www.fsc.go.kr/eng/pr010101/75893?srchCtgry=&curPage=36&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2021-05-12
금융위원회,en,household_loan,2021-03,"Household Loans, March 2021",https://www.fsc.go.kr/eng/pr010101/75750?srchCtgry=&curPage=38&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2021-04-14
금융위원회,en,household_loan,2021-02,"Household Loans, February 2021",https://www.fsc.go.kr/eng/pr010101/75535?srchCtgry=&curPage=39&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2021-03-10
금융위원회,en,household_loan,2021-01,"Household Loans, January 2021",https://www.fsc.go.kr/eng/pr010101/75358?srchCtgry=&curPage=40&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2021-02-10
